country,unesco_props,safety_index,quality_of_life,total_population,code,GDP,pop_0_14_%,pop_0_14_%_female,pop_0_14_%_male,pop_15_64_%,pop_15_64_%_female,pop_15_64_%_male,pop_65_plus_%,pop_65_plus_%_female,pop_65_plus_%_male,continent,female_population,male_population,average_cost_rich,average_cost_medium,average_cost_lower,cost_average,meals,market,transports,telecommunications,accomodation
Kazakhstan,5.0,46.6,58.6,19000988.0,KAZ,225.6,29.53260589,27.63057726,31.58622995,62.51768327,62.44266423,62.59868148,7.949710847,9.926758514,5.815088578,Asia,9864589.0,9136399.0,280.72675457875465,173.11313186813192,161.89046520146522,205.24345054945056,14.080317460317461,1.7965897435897435,1.516083333333333,5.161083333333334,6.0267614568301235
Kenya,7.0,43.8,54.0,53005614.0,KEN,62.72,38.39515565,37.94233158,38.85568633,58.76107387,58.81083554,58.71046531,2.843770473,3.246832878,2.433848356,Africa,26726429.0,26279184.0,246.35335414585413,157.97299200799202,111.18306526806526,171.83647047397048,14.45047619047619,2.9466323260073257,3.8071153846153845,18.536538461538466,4.056904425534711
Kosovo (Disputed Territory),,57.7,68.5,1786038.0,KSV,5.99,,,,,,,,,,,,,332.64592857142856,215.476261904762,189.5535,245.89189682539688,10.781333333333336,1.9087500000000002,3.6233333333333335,10.193714285714284,7.345089857738936
Kuwait,0.0,66.6,54.9,4250114.0,KWT,179.3,21.1201276,24.7925856,18.76780531,74.4222155,71.18748454,76.49416016,4.4576569,4.019929861,4.738034531,Asia,1659419.0,2590695.0,886.1600000000001,588.0799999999999,552.395,675.545,21.398333333333337,2.43625,5.04,12.3875,21.294887801031635
Kyrgyzstan,3.0,43.4,61.0,6691800.0,KGZ,7.65,34.46458183,33.18379765,35.79204479,61.15016621,61.62022873,60.66297203,4.385251963,5.195973613,3.544983176,Asia,3405781.0,3286019.0,366.31,187.145,171.92499999999998,241.7933333333333,12.335555555555553,1.975,1.54,6.676666666666668,7.636840030226368
Laos,3.0,,46.9,7425057.0,LAO,11.71,31.01673623,30.67434808,31.35362685,64.62608539,64.61429212,64.63768929,4.357178379,4.711359796,4.008683861,Asia,3682483.0,3742575.0,733.3149999999999,348.25,235.635,439.06666666666666,12.245,5.137499999999999,4.32,51.059999999999995,12.941978512994051
Latvia,2.0,61.3,71.8,1884490.0,LVA,32.82,15.6263958,14.06387778,17.43719456,62.75866246,59.22820977,66.85009643,21.61494173,26.70791245,15.71270902,Europe,1011596.0,872894.0,372.24016666666665,245.2126363636364,227.1841111111111,281.545638047138,20.25777777777778,3.2638333333333334,4.16480303030303,8.03588888888889,7.880485374160834
Lebanon,6.0,53.1,48.0,5592631.0,LBN,47.5,27.61837854,26.08342663,29.2470344,62.75952231,63.45829597,62.01809072,9.622099152,10.45827739,8.734874878,Asia,2879140.0,2713490.0,655.9591666666666,364.0633333333334,298.50750000000005,439.5100000000001,25.95555555555556,3.6504166666666666,6.774166666666666,29.1725,12.389525905969709
Lesotho,1.0,,48.8,2281454.0,LSO,2.46,34.09859807,33.65263358,34.55647074,61.69358188,61.17205484,62.22903479,4.207820055,5.175311582,3.214494474,Africa,1155756.0,1125698.0,388.97,243.34000000000003,,316.15500000000003,,2.11,1.75,22.155,7.463120544074646
Liberia,0.0,,36.8,5193416.0,LBR,2.07,41.01249939,40.3235243,41.70762299,55.64656824,55.91900371,55.3717015,3.340932379,3.757471984,2.920675506,Africa,2608243.0,2585173.0,1487.506666666667,249.17,190.8,642.4922222222223,30.0,3.158333333333333,7.539999999999999,25.11,24.161875349081708
Libya,5.0,39.7,54.5,6735277.0,LBY,49.34,28.85624452,28.4160037,29.2856727,66.32142227,66.21874012,66.42158247,4.822333217,5.365256181,4.292744834,Africa,3325769.0,3409508.0,216.72400000000005,126.584,95.991,146.43300000000002,10.260666666666667,1.133,1.9329999999999998,14.451,3.855800505963137
Liechtenstein,,,72.6,39039.0,LIE,5.11,14.54808591,13.64675404,15.46490299,66.59280985,66.24758712,66.94396362,18.85910424,20.10565884,17.59113339,Europe,19686.0,19354.0,1534.923333333334,1101.9233333333334,1052.4540000000002,1229.766888888889,58.28933333333333,7.1850000000000005,8.203333333333333,27.150000000000006,36.96460448357811
Lithuania,4.0,66.7,73.9,2800839.0,LTU,48.72,15.18263593,13.92580226,16.60398207,64.22735826,60.60528915,68.32353588,20.59000582,25.46890858,15.07248205,Europe,1486443.0,1314395.0,464.4777005107036,273.9343231854145,258.1196929824562,332.17723889285804,20.609662309368193,3.375121259029928,3.560964912280702,5.87921052631579,9.988463981506987
